name,email,ward,party,other
Councillor Dipu Ahad,dipu.ahad@newcastle.gov.uk,Elswick,Labour,
Councillor Irim Ali,irim.ali@newcastle.gov.uk,Wingrove,Labour,
Councillor George Allison,george.allison@newcastle.gov.uk,Byker,Labour,
Councillor Tania Armstrong,tania.armstrong@newcastle.gov.uk,Walkergate,Labour,
Councillor Christopher Bartlett,christopher.bartlett@newcastle.gov.uk,South Heaton,Labour,
Councillor Lord Jeremy Beecham,jeremybeecham@blueyonder.co.uk,Benwell and Scotswood,Labour,
Councillor Ged Bell,ged.bell@newcastle.gov.uk,Kenton,Labour,
Councillor Simon Bird,simon.bird@newcastle.gov.uk,Denton,Labour,
Councillor Michael Burke,michael.burke@newcastle.gov.uk,Denton,Labour,
Councillor David Cook,david.cook@newcastle.gov.uk,Lemington,Labour,
Councillor David Denholm,david.denholm@newcastle.gov.uk,Walkergate,Labour,
Councillor Veronica Dunn,veronica.dunn@newcastle.gov.uk,Byker,Labour,Cabinet Member for Adult and Culture Services
Councillor Stephen Fairlie,steve.fairlie@newcastle.gov.uk,Newburn,Labour,
Councillor Nick Forbes,nick.forbes@newcastle.gov.uk,Westgate,Labour,Leader of Council
Councillor Hilary Franks,hilary.franks@newcastle.gov.uk,Newburn,Labour,
Councillor Kevin Graham,kevin.graham@newcastle.gov.uk,Woolsington,Labour,
Councillor David Hardman,david.hardman@newcastle.gov.uk,South Jesmond,Labour,
Councillor Rob Higgins,rob.higgins@newcastle.gov.uk,Benwell and Scotswood,Labour,
Councillor Linda Hobson,linda.hobson@newcastle.gov.uk,Westerhope,Labour,
Councillor Brian S. Hunter,brian.hunter@newcastle.gov.uk,Westerhope,Labour,
Councillor Michael Johnson,michael.johnson@newcastle.gov.uk,North Heaton,Labour,
Councillor Nick Kemp,nick.kemp@newcastle.gov.uk,Byker,Labour,
Councillor Joanne Kingsland,joanne.kingsland@newcastle.gov.uk,Westgate,Labour,Cabinet Member for Children Services
Councillor Stephen Lambert,stephen.lambert@newcastle.gov.uk,Kenton,Labour,
Councillor Maureen Lowson,maureen.lowson@newcastle.gov.uk,Walkergate,Labour,
Councillor Joyce McCarty,joyce.mccarty@newcastle.gov.uk,Wingrove,Labour,Deputy Leader of Council
Councillor Helen McStravick,helen.mcstravick@newcastle.gov.uk,Fenham,Labour,
Councillor Felicity Mendelson,felicity.mendelson@newcastle.gov.uk,South Jesmond,Labour,
Councillor Henri Murison,henri.murison@newcastle.gov.uk,South Heaton,Labour,Cabinet Member for Quality of Life
Councillor Matthew Myers,matthew.myers@newcastle.gov.uk,Fenham,Labour,
Councillor Geoff O'Brien,geoff.obrien@newcastle.gov.uk,Westgate,Labour,
Councillor George Pattison,george.pattison@newcastle.gov.uk,Woolsington,Labour,
Councillor Sharon Pattison,sharon.pattison@newcastle.gov.uk,Woolsington,Labour,
Councillor Sue Pearson,sue.pearson@newcastle.gov.uk,Blakelaw,Labour,
Councillor Barry Phillipson,barry.phillipson@newcastle.gov.uk,Lemington,Labour,
Councillor Stephen Powers,stephen.powers@newcastle.gov.uk,Ouseburn,Labour,
Councillor Habib Rahman,habib.rahman@newcastle.gov.uk,Elswick,Labour,
Councillor Phil Risk,phil.risk@newcastle.gov.uk,Blakelaw,Labour,
Councillor Ann Schofield,ann.schofield@newcastle.gov.uk,Elswick,Labour,
Councillor Hazel Stephenson,hazel.stephenson@newcastle.gov.uk,Benwell and Scotswood,Labour,Cabinet Member for Chief Executives' Directorate
Councillor David Stockdale,david.stockdale@newcastle.gov.uk,Blakelaw,Labour,
Councillor John Stokel-Walker,john.stokel-walker@newcastle.gov.uk,Walker,Labour,
Councillor Jane Streather,jane.streather@newcastle.gov.uk,Kenton,Labour,
Councillor Louise Sutcliffe,louise.sutcliffe@newcastle.gov.uk,Lemington,Labour,
Councillor Marion Talbot,marion.talbot@newcastle.gov.uk,Fenham,Labour,
