name,plan,due,longitude,latitude
"Moorside Library",close,"June 2013",-1.635681,54.976958
"Kenton Library",keep,,-1.653120,55.005594
"Denton Burn Library",close,"June 2013",-1.687284,54.983059
"Dinnington Library",close,"June 2013",-1.674954,55.052975
"Newburn Library",relocate,,-1.741789,54.982675
"High Heaton Library",close,"June 2013",-1.585806,54.995687
"Blakelaw Library",close,"March 2015",-1.673162,54.994156
"Walker Library",relocate,,-1.554416,54.974818
"Fawdon Library",close,"March 2015",-1.645966,55.013724
"City Library",keep,,-1.610344,54.974884
"West End Library",keep,,-1.661547,54.970248
"Fenham Library",close,"June 2013",-1.660852,54.984157
"Jesmond Library",close,"June 2013",-1.606400,54.993257
"Outer West Library",keep,,-1.699978,54.992805
"Gosforth Library",keep,,-1.622916,55.010420
"Cruddas Park Library",close,"June 2013",-1.636921,54.965872
"East End Library",reduced,,-1.577799,54.976726
"Newbiggin Hall Library",close,"March 2015",-1.687648,55.006649
